word,meaning,sentence,sentence_translation
supply,"공급;공급하다","The company supplies parts to car manufacturers.","그 회사는 자동차 제조업체에 부품을 공급한다."
support,"지원;지원하다","I will always support you, no matter what you decide.","네가 어떤 결정을 하든, 나는 항상 너를 지지할 것이다."
supportive,"지원하는; 지지하는","My family was very supportive of my decision.","나의 가족은 내 결정을 매우 지지해 주었다."
surely,확실히,"Surely, you don't believe that story, do you?","설마, 그 이야기를 믿는 건 아니겠죠?"
surgery,"수술; 외과","He will need to have surgery on his knee.","그는 무릎 수술을 받아야 할 것이다."
surplus,"나머지; 과잉;여분의; 과잉의","The country has a trade surplus of over a billion dollars.","그 나라는 10억 달러가 넘는 무역 흑자를 기록하고 있다."
survival,"생존;살아남기 위한","Survival in the desert is a real challenge.","사막에서의 생존은 정말 힘든 도전이다."
suspension,"매달기; 정학; 정지; 보류","The bridge's suspension cables need to be repaired.","그 다리의 현수 케이블은 수리가 필요하다."
sustenance,"자양물; 생명 유지","Food and water are necessary for sustenance.","음식과 물은 생명 유지에 필수적이다."
swiftly,"신속히; 즉시","The ambulance arrived swiftly at the scene of the accident.","구급차는 사고 현장에 신속하게 도착했다."
swine,돼지,"Swine flu is a type of influenza.","돼지 독감은 인플루엔자의 한 종류이다."
symbol,"상징; 기호; 부호;상징하다","The dove is a symbol of peace.","비둘기는 평화의 상징이다."
symptom,"증상; 징후","Fever is a common symptom of the flu.","열은 독감의 흔한 증상이다."
synonymous,"동의어의; 같은 뜻의","The word 'rich' is synonymous with 'wealthy'.","'부유한'이라는 단어는 '부유한'과 동의어이다."
"take a risk",위험을 감수하다,"Sometimes you have to take a risk to achieve your goals.","때로는 목표를 달성하기 위해 위험을 감수해야 한다."
talent,"재능; 재능 있는 사람; 탤런트","She has a natural talent for music.","그녀는 음악에 타고난 재능이 있다."
task,"직무; 과업; 업무","My main task for today is to finish this report.","오늘 저의 주요 업무는 이 보고서를 끝내는 것입니다."
temperate,"온화한; 차분한","This region has a temperate climate with mild winters.","이 지역은 겨울이 온화한 온대 기후이다."
temperature,"온도; 체온","The temperature dropped below freezing last night.","어젯밤 기온이 영하로 떨어졌다."
tenable,"지지할 수 있는; 유지되는","His argument was not tenable and was easily refuted.","그의 주장은 지지될 수 없었고 쉽게 반박되었다."
territory,"영토; 지역; 세력권","The two countries have a dispute over the territory.","두 나라는 그 영토를 두고 분쟁을 벌이고 있다."
terror,"테러; 공포","The attacks filled the nation with terror.","그 공격은 국민들을 공포에 떨게 했다."
tertiary,"제3의","Tertiary education refers to education at the college or university level.","제3차 교육은 대학 수준의 교육을 의미한다."
theory,"이론; 가설","Einstein's theory of relativity is famous worldwide.","아인슈타인의 상대성 이론은 전 세계적으로 유명하다."
therapy,"치료; 요법","He is receiving therapy to overcome his fear of flying.","그는 비행 공포증을 극복하기 위해 치료를 받고 있다."
thereafter,"그 후에; 그에 따라","She graduated from college and moved to New York thereafter.","그녀는 대학을 졸업하고 그 후에 뉴욕으로 이사했다."
thermometer,"온도계; 체온계","The thermometer shows that it is 30 degrees Celsius today.","온도계는 오늘 기온이 섭씨 30도임을 보여준다."
though,"~이지만; 비록 ~일지라도;그러나; 그렇지만","Though it was raining, we went for a walk.","비가 오고 있었지만, 우리는 산책을 하러 나갔다."
thoughtless,"생각 없는; 부주의한","It was thoughtless of him to make such a comment.","그가 그런 말을 한 것은 경솔했다."
threshold,"문지방; 기준치; 한계점","She is on the threshold of a brilliant career.","그녀는 빛나는 경력의 문턱에 서 있다."
throat,"목구멍; 목","I have a sore throat and can't speak well.","나는 목이 아파서 말을 잘 할 수 없다."
through,"~을 통과한; 시종; 사실상","The train went through a long tunnel.","기차는 긴 터널을 통과했다."
throughout,"도처에; 처음부터 끝까지; 전부;~의 도처에; ~동안","The news spread throughout the country.","그 소식은 전국에 퍼졌다."
tiresome,"귀찮은; 성가신","Doing the same task all day can be very tiresome.","하루 종일 같은 일을 하는 것은 매우 지겨울 수 있다."
toddler,"걸음마를 배우는 아이","The park is full of toddlers playing with their parents.","공원은 부모와 함께 노는 아기들로 가득하다."
token,"증거; 표시; 상징;대용화폐(토큰)","Please accept this gift as a small token of our appreciation.","저희의 감사의 작은 표시로 이 선물을 받아주세요."
totality,전체,"The totality of the evidence points to his guilt.","증거 전체가 그의 유죄를 가리키고 있다."
touched,감동한,"I was deeply touched by her kindness.","나는 그녀의 친절에 깊이 감동했다."
toughness,"강인함; 질김","The team showed great toughness in the final game.","그 팀은 결승전에서 대단한 강인함을 보여주었다."
tournament,"토너먼트; 시합","She won the national chess tournament last year.","그녀는 작년에 전국 체스 토너먼트에서 우승했다."
tractor,"트랙터; 견인 자동차;끄는 사람(것)","The farmer used a tractor to plow the field.","농부는 밭을 갈기 위해 트랙터를 사용했다."
trade,"무역; 상업; 거래;상업의; 무역의;거래하다","International trade is important for the global economy.","국제 무역은 세계 경제에 중요하다."
trail,"자국; 코스; 등산길;좇다; 느낌느낌 걷다;추적하다","We followed the trail through the forest.","우리는 숲 속의 오솔길을 따라갔다."
trait,"특성; 인상","Honesty is a very important personality trait.","정직함은 매우 중요한 성격 특성이다."
tram,트램; 전차,"In some European cities, trams are a popular form of public transport.","일부 유럽 도시에서는 트램이 대중적인 대중교통 수단이다."
transition,"전이; 변화","The country is in a period of transition to democracy.","그 나라는 민주주의로의 전환기에 있다."
transitive,"전이의; 옮아가는; 타동사","A transitive verb is a verb that requires an object.","타동사는 목적어를 필요로 하는 동사이다."
trap,"함정; 덫;덫을 놓다; 함정에 빠뜨리다","The hunter set a trap to catch a rabbit.","사냥꾼은 토끼를 잡기 위해 덫을 놓았다."
travel,"여행; 이동; 교통(량);여행하다; 이동하다","I love to travel and explore new cultures.","나는 여행하고 새로운 문화를 탐험하는 것을 좋아한다."
treatment,"취급(방법); 대우; 치료","He is receiving treatment for a serious illness.","그는 심각한 질병으로 치료를 받고 있다."
tremendously,엄청나게,"I enjoyed the movie tremendously.","나는 그 영화를 엄청나게 즐겼다."
trend,"경향; 추세; 유행","There is a growing trend towards healthier eating.","더 건강하게 먹으려는 경향이 증가하고 있다."
tribe,부족,"The Amazon rainforest is home to many indigenous tribes.","아마존 열대우림은 많은 원주민 부족의 고향이다."
trousers,바지,"He was wearing a pair of dark grey trousers.","그는 짙은 회색 바지를 입고 있었다."
trustworthy,"신뢰할 수 있는; 든든한","She is a trustworthy friend who will never let you down.","그녀는 절대 당신을 실망시키지 않을 믿음직한 친구이다."
"tuition fees","수업료; 등록금","The tuition fees at private universities can be very high.","사립 대학의 등록금은 매우 비쌀 수 있다."
tunnel,"터널; 지하 수로;터널을 파다","The new tunnel will reduce travel time between the two cities.","새로운 터널은 두 도시 간의 이동 시간을 줄여줄 것이다."
tutor,"가정교사; 보조자;개인 수업(레슨)을 하다","She works as a private tutor for high school students.","그녀는 고등학생들을 위한 개인 교사로 일한다."
twist,"꼰 실; 비틀림; 반전;꼬다; 꼬이다","The story has an unexpected twist at the end.","그 이야기의 마지막에는 예상치 못한 반전이 있다."
typically,"보통; 전형적으로; 늘 그렇듯이","Typically, he arrives at work around 9 a.m.","보통, 그는 오전 9시쯤에 출근한다."
unanswerable,"대답할 수 없는; 반박할 수 없는","The question of why bad things happen to good people is often unanswerable.","왜 착한 사람에게 나쁜 일이 일어나는가 하는 질문은 종종 답할 수 없다."
undeniable,부인할 수 없는,"It is an undeniable fact that the climate is changing.","기후가 변하고 있다는 것은 부인할 수 없는 사실이다."
undermine,"(자신감; 권위; 기반을) 약화시키다","Constant criticism can undermine a person's confidence.","끊임없는 비판은 사람의 자신감을 약화시킬 수 있다."
undertake,"착수하다; 약속하다","She is about to undertake a very challenging project.","그녀는 매우 도전적인 프로젝트에 착수하려고 한다."
undue,"지나친; 부당한; 부적당한","You should not place undue pressure on yourself.","스스로에게 지나친 압박을 가해서는 안 된다."
unfortunately,불행하게도; 유감스럽게도,"Unfortunately, we had to cancel our trip.","불행하게도, 우리는 여행을 취소해야 했다."
union,"결합; 연합; 노동조합","He is a member of the local workers' union.","그는 지역 노동조합의 조합원이다."
unlikely,"~할 것 같지 않은","It is unlikely to rain today.","오늘 비가 올 것 같지는 않다."
unnecessarily,불필요하게; 쓸데없이,"He worries unnecessarily about everything.","그는 모든 것에 대해 불필요하게 걱정한다."
unproductive,비생산적인,"The meeting was long and unproductive.","회의는 길고 비생산적이었다."
unreasonably,비이성적으로; 불합리하게,"She was behaving unreasonably and refused to listen to anyone.","그녀는 비이성적으로 행동했고 아무의 말도 들으려 하지 않았다."
unscrupulous,"사악한; 부도덕한","An unscrupulous salesman tricked her into buying a faulty car.","부도덕한 판매원이 그녀를 속여 결함이 있는 차를 사게 했다."
unsustainable,"지속할 수 없는","The company's current business model is unsustainable.","그 회사의 현재 비즈니스 모델은 지속 가능하지 않다."
unwise,"지각없는; 현명하지 못한","It would be unwise to invest all your money in one company.","모든 돈을 한 회사에 투자하는 것은 현명하지 못할 것이다."
uphill,"오르막길;오르막길로; 언덕 위로","It was a long uphill climb to the summit.","정상까지는 긴 오르막길이었다."
uphold,"받들다; 치켜들다; 지지하다","The court decided to uphold the previous ruling.","법원은 이전 판결을 지지하기로 결정했다."
upstream,"상류 부분; 흐름을 거슬러 오르는;상류의;상류 쪽으로 물을 거슬러 올라가서","Salmon swim upstream to lay their eggs.","연어는 알을 낳기 위해 상류로 헤엄쳐 올라간다."
upward,"위쪽을 향한;위쪽으로","The path leads upward to the top of the hill.","그 길은 언덕 꼭대기를 향해 위쪽으로 나 있다."
usually,"보통; 늘","I usually wake up at 7 a.m.","나는 보통 아침 7시에 일어난다."
vacant,"비어 있는","There are several vacant apartments in this building.","이 건물에는 비어 있는 아파트가 여러 채 있다."
vaccinate,"예방 접종을 하다","It is important to vaccinate children against serious diseases.","아이들에게 심각한 질병에 대한 예방 접종을 하는 것이 중요하다."
valid,"근거가 확실한; 유효한","You need a valid passport to travel abroad.","해외여행을 하려면 유효한 여권이 필요하다."
validity,"유효함; 타당성","The researcher questioned the validity of the study's results.","그 연구원은 그 연구 결과의 타당성에 의문을 제기했다."
valuable,"귀중품;귀중한 가치가 있는; 매우 유용한","This antique vase is extremely valuable.","이 골동품 화병은 매우 귀중하다."
vanity,"허영심; 자만심; 헛됨","His vanity was his biggest weakness.","그의 허영심은 그의 가장 큰 약점이었다."
various,"가지각색의; 다양한","The store sells various kinds of cheese.","그 가게는 다양한 종류의 치즈를 판매한다."
vary,"바꾸다; 다르다; 바뀌다","The prices of vegetables vary depending on the season.","채소 가격은 계절에 따라 다르다."
vehicle,"차량; 탈것; 수단","A car is a popular type of private vehicle.","자동차는 대중적인 개인용 차량이다."
velocity,"속도; 속력","The velocity of light is approximately 300,000 kilometers per second.","빛의 속도는 초당 약 30만 킬로미터이다."
vend,팔다; 행상하다,"The machine vends snacks and drinks.","그 기계는 과자와 음료를 판매한다."
vent,"구멍; 통풍구;(감정 등을) 터뜨리다; 분출하다","He vented his frustration by shouting loudly.","그는 큰 소리로 외치며 좌절감을 터뜨렸다."
versatile,"다재다능한; 다용도의","A smartphone is a versatile device with many functions.","스마트폰은 많은 기능을 가진 다용도 기기이다."
vicinity,"인근; 주변","There are several good restaurants in the vicinity of the hotel.","호텔 근처에 좋은 식당이 여러 곳 있다."
view,"견해; 관점; 시야;보다","The view from the window is spectacular.","창밖의 경치가 장관이다."
vintage,"빈티지(과거 특정 시기 유행했던 제품 또는 사람);빈티지(과거에 만들어졌지만 아직까지 우수한 것)","She loves shopping for vintage clothing.","그녀는 빈티지 의류 쇼핑을 좋아한다."
violate,"위반하다; 모독하다; 침해하다","Drivers who violate the speed limit will be fined.","속도 제한을 위반하는 운전자에게는 벌금이 부과될 것이다."
virtual,"사실상의; 가상의","The meeting was held in a virtual conference room.","그 회의는 가상 회의실에서 열렸다."
vitally,치명적으로; 대단히,"It is vitally important to follow the safety instructions.","안전 지침을 따르는 것은 매우 중요하다."
volume,"책; 부피; 음량","Could you please turn down the volume of the music?","음악 소리 좀 줄여주시겠어요?"
voluntary,"자발적인;자원 봉사로 하는","She does voluntary work at the local hospital.","그녀는 지역 병원에서 자원봉사를 한다."
voter,"투표자; 유권자","Every eligible voter has the right to cast a ballot.","모든 유권자는 투표할 권리가 있다."
vulnerable,"취약한; 연약한","Young children are especially vulnerable to diseases.","어린 아이들은 특히 질병에 취약하다."
wall,"벽;벽으로 둘러싸다","There is a large painting on the wall.","벽에 큰 그림이 걸려 있다."
wallet,"지갑; 서류 가방","I think I lost my wallet.","지갑을 잃어버린 것 같아요."
warmth,"온기; 따뜻함","She enjoys the warmth of the fireplace in winter.","그녀는 겨울에 벽난로의 온기를 즐긴다."
warranty,"품질 보증서; 근거","The new laptop comes with a one-year warranty.","새 노트북에는 1년 보증이 제공됩니다."
wastebasket,휴지통,"Please throw the paper in the wastebasket.","종이는 휴지통에 버려주세요."
waterfall,"폭포; 낙수; 쇄도","We hiked to a beautiful waterfall in the mountains.","우리는 산속의 아름다운 폭포까지 하이킹을 했다."
wealth,"부; 풍부","Health is more important than wealth.","건강은 부보다 더 중요하다."
webcam,웹캠,"I use a webcam for video calls with my family.","나는 가족과의 영상 통화를 위해 웹캠을 사용한다."
"well-dressed","잘 차려입은","He is always well-dressed and professional.","그는 항상 옷을 잘 차려입고 전문적이다."
"when it comes to ~","~에 관해서라면","When it comes to cooking, she is an expert.","요리에 관해서라면, 그녀는 전문가이다."
whereas,"~에 반하여; ~지만","He is very outgoing, whereas his brother is shy.","그는 매우 외향적인 반면, 그의 형은 수줍음이 많다."
wholly,"완전히; 오로지; 전체적으로","I am not wholly convinced by his argument.","나는 그의 주장에 완전히 설득되지 않았다."
widespread,"널리 퍼진; 광범위한","There is widespread support for the new law.","새 법안에 대한 지지가 광범위하다."
wilderness,"황야; 황무지","They went on an adventure trip into the wilderness.","그들은 황야로 모험 여행을 떠났다."
willingness,"기꺼이 하는 마음","She showed a great willingness to help others.","그녀는 다른 사람들을 기꺼이 돕고자 하는 마음을 보여주었다."
witness,"목격자; 증언(증거);목격하다; 입증하다; 증언하다","She was a witness to the accident.","그녀는 그 사고의 목격자였다."
"work out","운동하다; (일이) 잘 풀리다; 계산하다","I try to work out at the gym three times a week.","나는 일주일에 세 번 헬스장에서 운동하려고 노력한다."
workshop,"작업장; 길터; 연수회","He attended a workshop on creative writing.","그는 창의적 글쓰기에 관한 워크숍에 참석했다."
zebra,얼룩말,"A zebra is known for its black and white stripes.","얼룩말은 흑백 줄무늬로 알려져 있다."
local,"현지인; 지역의","We prefer to buy our vegetables from local farmers.","우리는 현지 농부들에게서 채소를 사는 것을 선호합니다."
"located in","~에 위치한","The hotel is conveniently located in the city center.","그 호텔은 도심의 편리한 곳에 위치해 있습니다."
logically,"논리적으로; 논리상","Logically, if we leave now, we should arrive on time.","논리적으로, 지금 출발하면 제시간에 도착할 것입니다."
loyalist,"충신; 영국지지파","During the revolution, he remained a loyalist to the king.","혁명 기간 동안 그는 왕에게 충성을 다하는 충신으로 남았다."
madam,"(호칭)부인; 아내","'Can I help you, madam?' the shop assistant asked.","'도와드릴까요, 부인?' 하고 가게 점원이 물었다."
"made up of","~로 구성된","The team is made up of players from different countries.","그 팀은 여러 나라 출신의 선수들로 구성되어 있다."
maintain,"유지하다","It is important to maintain a healthy diet.","건강한 식단을 유지하는 것이 중요하다."
majesty,"위엄; 폐하; 왕권","The queen was a figure of great majesty and grace.","여왕은 위엄과 우아함을 갖춘 인물이었다."
"make out of","~로 만들다","She can make beautiful sculptures out of clay.","그녀는 찰흙으로 아름다운 조각품을 만들 수 있다."
"make the effort to","~하려고 노력하다","You should make the effort to understand their perspective.","당신은 그들의 관점을 이해하려고 노력해야 한다."
malign,"해로운; 비방하다","His comments were designed to malign his opponent.","그의 발언은 상대방을 비방하기 위해 고안된 것이었다."
mammal,포유류,"Whales and dolphins are marine mammals.","고래와 돌고래는 해양 포유류이다."
"manage to","(어려운 일을) 해내다","Despite the storm, we managed to reach the shore safely.","폭풍에도 불구하고, 우리는 무사히 해안에 도착했다."
mandatory,"법에 정해진; 의무적인","Wearing a seatbelt is mandatory for all passengers.","모든 승객은 안전벨트 착용이 의무입니다."
manufacturer,"제조자; 생산 회사","The car manufacturer announced a recall of its latest model.","그 자동차 제조업체는 최신 모델의 리콜을 발표했다."
many,"많은 사람들; 많은","Many people enjoy visiting the new art museum.","많은 사람들이 새로운 미술관 방문을 즐긴다."
march,"행진; 행진하다","The soldiers marched in perfect formation.","군인들은 완벽한 대형을 이루어 행진했다."
"mass communication","대중 매체","Television and the internet are powerful tools of mass communication.","텔레비전과 인터넷은 강력한 대중 매체 도구이다."
massive,"거대한; 크고 무거운","The storm caused massive damage to the coastal towns.","그 폭풍은 해안 마을에 막대한 피해를 입혔다."
match,"시합; 짝; 성냥;어울리다; 대응하다","This blue shirt doesn't match your green pants.;We watched the exciting football match last night.","이 파란 셔츠는 당신의 녹색 바지와 어울리지 않아요.;우리는 어젯밤 흥미진진한 축구 경기를 봤어요."
materialism,"물질주의; 유물론","Many people believe that materialism does not lead to true happiness.","많은 사람들은 물질주의가 진정한 행복으로 이어진다고 믿지 않는다."
maximize,극대화하다,"We need to find a way to maximize our profits.","우리는 이익을 극대화할 방법을 찾아야 합니다."
means,수단,"The internet is a powerful means of communication.","인터넷은 강력한 의사소통 수단이다."
mechanism,"기계 장치; 매커니즘; 체계","The camera's focusing mechanism is very precise.","그 카메라의 초점 조절 장치는 매우 정밀하다."
medical,의학의,"She is currently receiving medical treatment for her illness.","그녀는 현재 병으로 의학적 치료를 받고 있다."
medication,"약물; 약물 치료","The doctor prescribed some medication for the pain.","의사는 통증에 대한 약을 처방했다."
medicinal,"약의; 약효가 있는","Some plants have medicinal properties.","일부 식물은 약효가 있는 특성을 가지고 있다."
medieval,중세의,"We visited a medieval castle during our trip to Europe.","우리는 유럽 여행 중에 중세 시대의 성을 방문했다."
mediocrity,"평범; 보통; 평범한 사람","He was a talented artist who refused to settle for mediocrity.","그는 평범함에 안주하기를 거부한 재능 있는 예술가였다."
melt,"녹다; 녹이다","The ice cream started to melt in the sun.","아이스크림이 햇볕에 녹기 시작했다."
memorable,"기억할 만한; 인상적인","Our family trip to the Grand Canyon was a memorable experience.","그랜드 캐니언으로의 우리 가족 여행은 기억에 남는 경험이었다."
mention,"간단히 말하다; 언급하다;언급; 진술","Did she mention when she would be arriving?","그녀가 언제 도착할지 언급했나요?"
merciful,자비로운,"The merciful judge gave the young offender a second chance.","자비로운 판사는 젊은 범죄자에게 두 번째 기회를 주었다."
merciless,무자비한; 잔인한,"The merciless dictator ruled his country with an iron fist.","무자비한 독재자는 철권으로 나라를 통치했다."
merge,"합병하다; 융합하다","The two small companies decided to merge to form a larger one.","두 개의 작은 회사는 합병하여 더 큰 회사를 만들기로 결정했다."
"figure out",알아내다; 파악하다,"I need some time to figure out the solution to this problem.","이 문제의 해결책을 알아내려면 시간이 좀 필요해요."
fingernail,손톱,"She painted her fingernails a bright red color.","그녀는 손톱을 밝은 빨간색으로 칠했다."
firm,"회사;단단한; 확고한","He has a firm belief in the importance of education.","그는 교육의 중요성에 대한 확고한 신념을 가지고 있다."
fitness,"건강; 체력; 적성","Regular exercise is essential for physical fitness.","규칙적인 운동은 신체 건강에 필수적이다."
fix,"수리; 해결;고정시키다; 고치다","Can you help me fix the broken chair?","부서진 의자 고치는 것 좀 도와줄래요?"
flour,"밀가루; 가루","You need flour, sugar, and eggs to bake a cake.","케이크를 구우려면 밀가루, 설탕, 계란이 필요하다."
flourish,"번창하다; 성장하다","The local economy began to flourish with the new investment.","새로운 투자로 지역 경제가 번창하기 시작했다."
flu,독감,"He stayed home from school because he had the flu.","그는 독감에 걸려서 학교에 가지 않고 집에 있었다."
footbridge,"(보행자용) 인도교","We crossed the river on a narrow footbridge.","우리는 좁은 인도교를 통해 강을 건넜다."
force,"힘; 영향력; 군사력;강요하다; ~하도록 만들다","The strong wind forced us to stay indoors.","강한 바람 때문에 우리는 실내에 머물러야 했다."
forgive,용서하다,"It is important to learn to forgive others.","다른 사람을 용서하는 법을 배우는 것은 중요하다."
form,"형태; 종류; 형식;형성하다; 구성하다","Water can exist in three forms: solid, liquid, and gas.","물은 고체, 액체, 기체의 세 가지 형태로 존재할 수 있다."
formidable,"무서운; 강력한","The team faces a formidable opponent in the championship game.","그 팀은 결승전에서 강력한 상대를 만난다."
fort,"요새; 성채; 보루","The old fort was built to defend the city.","그 오래된 요새는 도시를 방어하기 위해 지어졌다."
fortunate,"운이 좋은; 다행한","We were fortunate to find a hotel room during the busy season.","우리는 성수기에 호텔 방을 구해서 운이 좋았다."
found,"발견하다; 설립하다; 근거하다","The university was founded in 1950.","그 대학은 1950년에 설립되었다."
fragrant,"향기로운; 향긋한","The fragrant smell of lavender filled the room.","향기로운 라벤더 향기가 방 안을 가득 채웠다."
fraudulent,"사기의; 부정의","He was arrested for making fraudulent insurance claims.","그는 사기성 보험 청구를 한 혐의로 체포되었다."
frightened,"겁먹은; 무서워하는","The loud noise frightened the little child.","큰 소리에 어린 아이가 겁을 먹었다."
frown,"찡그림;얼굴을 찌푸리다","She frowned in concentration as she tried to solve the puzzle.","그녀는 퍼즐을 풀려고 애쓰며 집중하느라 얼굴을 찌푸렸다."
fuel,"연료;연료를 보급하다","Cars need fuel to run.","자동차는 달리려면 연료가 필요하다."
"full-time","전임의;전임으로; 상근으로","She is looking for a full-time job in marketing.","그녀는 마케팅 분야에서 정규직 일자리를 찾고 있다."
fundamental,"기본; 근본;기본적인; 근본적인","Understanding the fundamentals is key to mastering any skill.","기본을 이해하는 것이 어떤 기술이든 숙달하는 열쇠이다."
gain,"이익; 벌이; 이득; 획득;얻다; 벌다","You have nothing to gain by arguing with him.","그와 논쟁해봐야 얻을 것이 없다."
"gap year","갭 이어(졸업 후 대학 생활을 시작하기 전에 일을 하거나 여행을 하면서 보내는 1년)","She decided to take a gap year to travel the world before starting college.","그녀는 대학에 입학하기 전에 세계를 여행하기 위해 갭 이어를 갖기로 결정했다."
garbage,쓰레기,"Please take out the garbage before you leave.","나가기 전에 쓰레기를 버려주세요."
generally,"대체로; 일반적으로","Generally, the weather in this region is warm and sunny.","일반적으로 이 지역의 날씨는 따뜻하고 화창하다."
generous,"너그러운; 후한","He is very generous and always donates to charity.","그는 매우 관대해서 항상 자선 단체에 기부한다."
genetics,"유전학; 유전적 특징","Genetics plays a role in determining our physical traits.","유전학은 우리의 신체적 특성을 결정하는 데 역할을 한다."
genre,"유형; 장르","What is your favorite genre of music?","가장 좋아하는 음악 장르는 무엇인가요?"
giant,"거인; 거상;거대한","A giant statue stood at the entrance of the temple.","사원 입구에는 거대한 조각상이 서 있었다."
giggle,"낄낄 웃음;낄낄대며 웃다","The children started to giggle when they heard the funny story.","아이들은 재미있는 이야기를 듣고 낄낄거리기 시작했다."
gleefully,"유쾌하게; 신나서","The children ran gleefully towards the playground.","아이들은 신나게 놀이터를 향해 달려갔다."
goal,"목표; 목적지; 골","My goal is to run a marathon next year.","내 목표는 내년에 마라톤을 뛰는 것이다."
government,정부,"The government has announced new policies to improve public health.","정부는 공중 보건을 개선하기 위한 새로운 정책을 발표했다."
grace,"우아함;우아하게 하다","She moved with the grace of a dancer.","그녀는 무용수처럼 우아하게 움직였다."
graffiti,"(공공장소의) 낙서; 그래피티","The walls of the old building were covered in graffiti.","오래된 건물의 벽은 낙서로 뒤덮여 있었다."
grasp,"움켜잡기; 파악;붙잡다; 파악하다","He has a good grasp of the basic concepts of physics.","그는 물리학의 기본 개념을 잘 파악하고 있다."
grass,"풀; 잔디;풀을 뜯다; 풀을 먹이다","The children were playing on the green grass.","아이들이 푸른 잔디 위에서 놀고 있었다."
gratitude,"고마움; 감사","She expressed her gratitude to everyone who had helped her.","그녀는 자신을 도와준 모든 사람에게 감사를 표했다."
"Great Depression",대공황,"The Great Depression was a severe worldwide economic depression in the 1930s.","대공황은 1930년대에 있었던 심각한 세계 경제 불황이었다."
grin,"커다란 미소;크게 미소 짓다","She had a wide grin on her face when she saw the surprise.","그녀는 깜짝 선물을 보고 얼굴에 함박웃음을 지었다."
grind,"갈다; 가루로 만들다","You need to grind the coffee beans before making coffee.","커피를 만들기 전에 원두를 갈아야 한다."
grocery,식료 잡화점,"I need to stop by the grocery store on my way home.","집에 가는 길에 식료품점에 들러야 해요."
grumpy,"언짢은; 심술이 난","He is always grumpy in the morning before he has his coffee.","그는 아침에 커피를 마시기 전에는 항상 심술이 나 있다."
guideline,"지침; 가이드라인","The company has strict guidelines for employee conduct.","그 회사는 직원 행동에 대한 엄격한 지침을 가지고 있다."
"hands-on","실제의; 손으로 하는","The course offers a lot of hands-on experience in the lab.","그 과정은 실험실에서 많은 실제 경험을 제공한다."
handy,"편리한; 바로 옆에 있는; 손재주 있는;편리하게; 곁에","A smartphone is a handy device to have.","스마트폰은 가지고 있으면 편리한 기기이다."
happen,"일어나다; 우연히 마주치다","What will happen if we miss the train?","우리가 기차를 놓치면 어떻게 될까요?"
harbinger,"조짐; 전조;미리 알리다","The arrival of robins is a harbinger of spring.","울새의 등장은 봄의 전조이다."
hardship,"고난; 어려움","Many people faced great hardship during the war.","많은 사람들이 전쟁 중에 큰 고난을 겪었다."
harm,"해; 피해; 손해;해치다; 훼손하다","Smoking can cause serious harm to your health.","흡연은 건강에 심각한 해를 끼칠 수 있다."
harshly,"가혹하게; 매몰차게","He was criticized harshly for his poor performance.","그는 부진한 실적으로 가혹하게 비판을 받았다."
hay,건초,"The farmer stored the hay in the barn for the winter.","농부는 겨울을 위해 건초를 헛간에 저장했다."
helpless,"무력한; 어찌할 수 없는; 도움이 없는","Without his glasses, he felt completely helpless.","안경 없이는, 그는 완전히 무력하다고 느꼈다."
heritage,"유산; 전통","The country is proud of its rich cultural heritage.","그 나라는 풍부한 문화유산을 자랑스러워한다."
hide,"은신처; 가죽;숨다; 감추다","The cat likes to hide under the bed.","고양이는 침대 밑에 숨는 것을 좋아한다."
hierarchy,"계급(제); 계층 구조","The company has a clear hierarchy with the CEO at the top.","그 회사는 CEO를 정점으로 하는 명확한 계층 구조를 가지고 있다."
historian,"역사가; 역사학자","A historian studies and writes about the past.","역사가는 과거에 대해 연구하고 글을 쓴다."
hold,"쥐기; 영향력;잡다; 유지하다; 견디다","Please hold my hand when we cross the street.","길을 건널 때 제 손을 잡아주세요."
honorary,"명예의; 명예직의","He received an honorary degree from the university.","그는 그 대학에서 명예 학위를 받았다."
hostile,"적의; 적대적인","The two countries have had a hostile relationship for many years.","두 나라는 수년 동안 적대적인 관계를 유지해 왔다."
however,그러나,"He is a talented musician; however, he is not very famous.","그는 재능 있는 음악가이지만, 그다지 유명하지는 않다."
humble,"겸손한; 변변찮은","Despite his success, he remained a humble and kind person.","그는 성공에도 불구하고 겸손하고 친절한 사람으로 남았다."
humid,습한,"The weather is hot and humid in the summer.","여름에는 날씨가 덥고 습하다."
humiliating,"굴욕적인; 면목 없는","Losing the game by such a large margin was a humiliating experience.","그렇게 큰 점수 차로 경기에 지는 것은 굴욕적인 경험이었다."
husband,"남편;절약하다","Her husband is a kind and supportive partner.","그녀의 남편은 친절하고 힘이 되어주는 파트너이다."
hydrogen,수소,"Water is composed of hydrogen and oxygen atoms.","물은 수소와 산소 원자로 구성되어 있다."
hypocritical,위선적인,"It is hypocritical to say one thing and do another.","한 가지를 말하고 다른 것을 하는 것은 위선적이다."
hypothesis,"가설; 가정; 전제","The scientist conducted an experiment to test his hypothesis.","그 과학자는 자신의 가설을 검증하기 위해 실험을 수행했다."
ideology,"이데올로기; 이념; 사상","Different political parties are based on different ideologies.","서로 다른 정당들은 서로 다른 이념에 기반을 두고 있다."
ignition,"점화; 연소; 점화 장치","Turn the key in the ignition to start the car.","차를 시동 걸려면 점화 장치에 열쇠를 넣고 돌리세요."
