word,meaning,sentence,sentence_translation
suffering,고통,"The medicine helped to ease his suffering.","그 약은 그의 고통을 덜어주는 데 도움이 되었습니다."
suicide,자살,"He attempted suicide after losing his job.","그는 직장을 잃은 후 자살을 시도했습니다."
suitable,적합한,"This movie is not suitable for children.","이 영화는 어린이에게 적합하지 않습니다."
suitably,적절하게,"She was suitably dressed for the formal occasion.","그녀는 그 공식적인 행사에 적절하게 옷을 입었습니다."
summit,"정상; 정상 회담","They reached the summit of the mountain after a long climb.","그들은 긴 등반 끝에 산 정상에 도달했습니다."
supervise,감독하다,"Her job is to supervise the new employees.","그녀의 일은 신입 사원들을 감독하는 것입니다."
supporter,지지자,"He is a strong supporter of the local team.","그는 그 지역 팀의 강력한 지지자입니다."
supposedly,아마도; 추정컨대,"Supposedly, the new restaurant is very good.","아마도, 그 새 레스토랑은 아주 좋을 겁니다."
surgery,수술,"She will need to have surgery on her knee.","그녀는 무릎 수술을 받아야 할 것입니다."
suspend,"중단하다; 매달다","The game was suspended due to heavy rain.","폭우로 인해 경기가 중단되었습니다."
suspicious,의심스러운,"The police are investigating a suspicious package.","경찰은 의심스러운 소포를 조사하고 있습니다."
sustain,유지하다; 지탱하다,"We need to find a way to sustain economic growth.","우리는 경제 성장을 지속할 방법을 찾아야 합니다."
swallow,삼키다; 제비","Chew your food well before you swallow.","삼키기 전에 음식을 잘 씹으세요."
swift,빠른,"The police took swift action to catch the criminal.","경찰은 범인을 잡기 위해 신속한 조치를 취했습니다."
swiftly,신속하게,"The ambulance arrived swiftly at the scene.","구급차는 현장에 신속하게 도착했습니다."
symbolic,상징적인,"The dove is symbolic of peace.","비둘기는 평화의 상징입니다."
tablet,"알약; 태블릿","He took a tablet for his headache.","그는 두통 때문에 알약을 먹었습니다."
tackle,"해결하다; 태클하다","We need to tackle the problem of pollution.","우리는 오염 문제를 해결해야 합니다."
tact,"재치; 요령","She handled the delicate situation with great tact.","그녀는 그 미묘한 상황을 아주 재치 있게 처리했습니다."
tactic,전략; 전술,"The team used a clever tactic to win the game.","그 팀은 경기를 이기기 위해 영리한 전술을 사용했습니다."
tasty,맛있는,"This is a very tasty meal.","이것은 아주 맛있는 식사입니다."
technically,"기술적으로; 엄밀히 말하면","Technically, the deadline is tomorrow, but you can have an extension.","엄밀히 말하면 마감일은 내일이지만, 연장할 수 있습니다."
telescope,망원경,"He used a telescope to look at the stars.","그는 별을 보기 위해 망원경을 사용했습니다."
temple,사원; 절","We visited an ancient temple in the mountains.","우리는 산속에 있는 고대 사원을 방문했습니다."
tender,"부드러운; 상냥한","The meat was tender and delicious.","고기는 부드럽고 맛있었습니다."
terribly,"끔찍하게; 매우","I'm terribly sorry for what happened.","일어난 일에 대해 정말 죄송합니다."
terrific,훌륭한; 멋진","You did a terrific job on the project.","프로젝트를 훌륭하게 해냈어요."
texture,질감,"The fabric has a soft and smooth texture.","그 직물은 부드럽고 매끄러운 질감을 가지고 있습니다."
theft,절도,"He was arrested for theft.","그는 절도 혐의로 체포되었습니다."
thoughtfully,사려 깊게,"He thoughtfully considered her suggestion.","그는 그녀의 제안을 사려 깊게 고려했습니다."
thread,실,"I need a needle and thread to fix this hole.","이 구멍을 깁으려면 바늘과 실이 필요합니다."
thunder,천둥,"We heard a loud clap of thunder during the storm.","우리는 폭풍 중에 큰 천둥소리를 들었습니다."
tiresome,지루한; 성가신,"The long journey was very tiresome.","긴 여정은 매우 지루했습니다."
tobacco,담배,"Smoking tobacco is harmful to your health.","담배를 피우는 것은 건강에 해롭습니다."
tolerant,관대한,"She is tolerant of other people's opinions.","그녀는 다른 사람들의 의견에 관대합니다."
tolerate,참다; 용인하다,"I will not tolerate such rude behavior.","나는 그런 무례한 행동을 용납하지 않을 것이다."
toll,"통행료; 피해","You have to pay a toll to use this road.","이 도로를 이용하려면 통행료를 내야 합니다."
tomb,무덤,"The archaeologists discovered an ancient tomb.","고고학자들이 고대 무덤을 발견했습니다."
tool,도구,"He keeps his tools in a toolbox.","그는 공구를 공구 상자에 보관합니다."
torture,고문하다,"The prisoners were tortured for information.","죄수들은 정보를 얻기 위해 고문을 당했습니다."
toss,던지다,"He tossed the ball to his friend.","그는 친구에게 공을 던졌습니다."
tower,탑,"The Eiffel Tower is a famous landmark in Paris.","에펠탑은 파리의 유명한 랜드마크입니다."
trainee,연수생; 수습생,"He is a new trainee in the marketing department.","그는 마케팅 부서의 신입 연수생입니다."
transfer,"옮기다; 전근하다","I need to transfer some money to another account.","다른 계좌로 돈을 좀 이체해야 합니다."
transition,전환; 변화,"The transition from school to work can be difficult.","학교에서 직장으로의 전환은 어려울 수 있습니다."
translate,번역하다,"Can you translate this sentence into English?","이 문장을 영어로 번역해 주시겠어요?"
transmit,"전송하다; 전달하다","The radio station transmits signals over a wide area.","그 라디오 방송국은 넓은 지역에 걸쳐 신호를 전송합니다."
transplant,이식하다,"He received a heart transplant last year.","그는 작년에 심장 이식 수술을 받았습니다."
tray,쟁반,"She carried the drinks on a tray.","그녀는 쟁반에 음료를 날랐습니다."
treaty,조약,"The two countries signed a peace treaty.","두 나라는 평화 조약을 체결했습니다."
trick,"속임수; 묘기","The magician performed an amazing card trick.","마술사가 놀라운 카드 마술을 선보였습니다."
trigger,"유발하다; 방아쇠","The loud noise triggered his anxiety.","큰 소리가 그의 불안을 유발했습니다."
troops,군대,"The government decided to send troops to the region.","정부는 그 지역에 군대를 파견하기로 결정했습니다."
trophy,트로피; 상","She proudly displayed the trophy she had won.","그녀는 자신이 받은 트로피를 자랑스럽게 진열했습니다."
tuition,"수업료; 등록금","The tuition for the university is very expensive.","그 대학의 등록금은 매우 비쌉니다."
turkey,"칠면조; 터키","We had a roasted turkey for Thanksgiving dinner.","우리는 추수감사절 저녁으로 구운 칠면조를 먹었습니다."
turmoil,혼란,"The country was in a state of political turmoil.","그 나라는 정치적 혼란 상태에 있었습니다."
typically,일반적으로,"Typically, I get up at 7 a.m. and go to bed at 11 p.m.","일반적으로 저는 아침 7시에 일어나서 밤 11시에 잠자리에 듭니다."
unbalanced,불균형의,"An unbalanced diet can lead to health problems.","불균형한 식단은 건강 문제로 이어질 수 있습니다."
uncertain,불확실한,"The future of the company is uncertain.","그 회사의 미래는 불확실합니다."
uncertainty,불확실성,"There is a lot of uncertainty about the economy.","경제에 대한 불확실성이 많습니다."
uncomfortable,불편한,"This chair is very uncomfortable to sit in.","이 의자는 앉기에 매우 불편합니다."
uncomfortably,불편하게,"He shifted uncomfortably in his seat.","그는 자리에서 불편하게 몸을 뒤척였습니다."
unconditional,무조건적인,"A mother's love for her child is often unconditional.","자녀에 대한 어머니의 사랑은 종종 무조건적입니다."
unconscious,의식 없는,"He was found unconscious on the floor.","그는 바닥에서 의식을 잃은 채 발견되었습니다."
underneath,아래에,"The cat was hiding underneath the car.","고양이가 차 밑에 숨어 있었습니다."
undernourished,영양 부족의,"Many children in the world are undernourished.","전 세계의 많은 어린이들이 영양 부족 상태입니다."
underpaid,저임금의,"The workers are underpaid and overworked.","노동자들은 저임금과 과로에 시달리고 있습니다."
understandable,이해할 수 있는,"His reaction was understandable given the circumstances.","상황을 고려할 때 그의 반응은 이해할 수 있었습니다."
undeveloped,개발되지 않은,"The region is still largely undeveloped.","그 지역은 아직 대체로 개발되지 않았습니다."
uneventful,특별한 일 없는,"We had a quiet and uneventful weekend.","우리는 조용하고 특별한 일 없는 주말을 보냈습니다."
unfortunate,불운한,"It was unfortunate that we missed the train.","우리가 기차를 놓친 것은 불운이었습니다."
unfriendly,불친절한,"He was very unfriendly and didn't even say hello.","그는 매우 불친절했고 인사조차 하지 않았습니다."
united,"연합된; 단결된","The team was united in their goal to win the championship.","팀은 우승이라는 목표 아래 하나로 뭉쳤습니다."
unity,통합; 단결,"The country celebrated a day of national unity.","그 나라는 국가 통합의 날을 기념했습니다."
universal,보편적인,"Love is a universal human emotion.","사랑은 보편적인 인간의 감정입니다."
universally,일반적으로; 세계적으로,"Her work is universally praised by critics.","그녀의 작품은 비평가들로부터 보편적으로 칭찬을 받습니다."
unjustified,정당하지 않은,"The criticism against him was completely unjustified.","그에 대한 비판은 완전히 정당하지 않았습니다."
unlimited,무제한의,"This plan offers unlimited data usage.","이 요금제는 무제한 데이터 사용을 제공합니다."
unnatural,부자연스러운,"His smile looked forced and unnatural.","그의 미소는 억지스럽고 부자연스러워 보였습니다."
unnecessarily,불필요하게,"He worried unnecessarily about the small details.","그는 사소한 세부 사항에 대해 불필요하게 걱정했습니다."
unquestionably,의심할 여지 없이,"He is unquestionably the most talented player on the team.","그는 의심할 여지 없이 팀에서 가장 재능 있는 선수이다."
unrealistic,비현실적인,"Her plan to travel the world with no money is completely unrealistic.","돈 없이 세계를 여행하려는 그녀의 계획은 완전히 비현실적이다."
unreasonable,불합리한,"It's unreasonable to expect a child to sit still for that long.","아이에게 그렇게 오랫동안 가만히 앉아 있기를 기대하는 것은 불합리하다."
unrest,"불안; 소요","The country is experiencing a period of social and political unrest.","그 나라는 사회적, 정치적 불안의 시기를 겪고 있다."
unsolved,해결되지 않은,"The mystery of the missing jewels remains unsolved.","사라진 보석의 미스터리는 아직 해결되지 않았다."
unsuccessful,실패한,"After several unsuccessful attempts, he finally quit.","몇 번의 실패한 시도 끝에, 그는 마침내 그만두었다."
unsuccessfully,실패하게,"She tried unsuccessfully to start the car.","그녀는 차에 시동을 걸려고 했지만 실패했다."
untie,풀다,"Can you help me untie the knot in this rope?","이 밧줄의 매듭 푸는 것 좀 도와줄래요?"
unwind,"긴장을 풀다; 풀다","I like to unwind by listening to music after work.","저는 퇴근 후에 음악을 들으며 긴장을 푸는 것을 좋아합니다."
upbringing,"양육; 교육","He had a strict upbringing with a lot of rules.","그는 많은 규칙이 있는 엄격한 가정 교육을 받았다."
upcoming,다가오는,"Are you excited for the upcoming holiday?","다가오는 휴일이 기대되나요?"
uphill,오르막의,"It was a long uphill climb to the top of the mountain.","산 정상까지는 긴 오르막길이었다."
upward,위쪽으로,"The path slopes gently upward.","그 길은 완만하게 위쪽으로 경사져 있다."
utterly,완전히,"I was utterly amazed by her performance.","나는 그녀의 공연에 완전히 감탄했다."
varied,다양한,"The restaurant offers a varied menu to suit all tastes.","그 레스토랑은 모든 취향에 맞는 다양한 메뉴를 제공한다."
vegetation,식물; 초목,"The hills were covered in lush green vegetation.","언덕은 무성한 녹색 초목으로 뒤덮여 있었다."
vein,"정맥; 광맥","The nurse easily found a vein in her arm.","간호사는 그녀의 팔에서 쉽게 정맥을 찾았다."
velvet,벨벳,"The sofa was covered in soft, luxurious velvet.","소파는 부드럽고 고급스러운 벨벳으로 덮여 있었다."
venture,"모험; 벤처","Starting a new business is a risky venture.","새로운 사업을 시작하는 것은 위험한 모험이다."
verify,확인하다,"Please verify your email address to complete the registration.","등록을 완료하려면 이메일 주소를 확인해 주세요."
victory,승리,"The team celebrated their victory in the championship game.","팀은 챔피언십 경기에서의 승리를 축하했다."
viewpoint,관점,"From a historical viewpoint, the event was very significant.","역사적인 관점에서 볼 때, 그 사건은 매우 중요했다."
virtual,가상의,"Many people now work in a virtual office from home.","많은 사람들이 이제 집에서 가상 사무실에서 일한다."
visa,비자,"You will need a visa to enter the country.","그 나라에 입국하려면 비자가 필요합니다."
visible,보이는,"The ship was barely visible through the fog.","배는 안개를 뚫고 간신히 보였다."
visibly,눈에 띄게,"She was visibly shaken after the accident.","그녀는 사고 후에 눈에 띄게 충격을 받았다."
vision,"시력; 비전","He wears glasses to correct his poor vision.;The company's founder had a clear vision for its future.","그는 나쁜 시력을 교정하기 위해 안경을 쓴다.;그 회사의 설립자는 미래에 대한 명확한 비전을 가지고 있었다."
vivid,생생한,"She has a vivid imagination.","그녀는 생생한 상상력을 가지고 있다."
volcano,화산,"The volcano is expected to erupt soon.","그 화산은 곧 폭발할 것으로 예상된다."
volume,"음량; 책; 양","Can you turn up the volume? I can't hear the music.;This encyclopedia is a set of twenty volumes.","볼륨 좀 높여줄래요? 음악이 안 들려요.;이 백과사전은 20권짜리 세트입니다."
walker,"걷는 사람; 보행 보조기","The elderly patient used a walker for support.","그 노인 환자는 지지를 위해 보행 보조기를 사용했다."
warehouse,창고,"The online store ships its products from a large warehouse.","그 온라인 상점은 큰 창고에서 제품을 배송한다."
warrior,전사,"The story is about a brave warrior who defended his village.","그 이야기는 자신의 마을을 지킨 용감한 전사에 관한 것이다."
wasp,말벌,"A wasp sting can be very painful.","말벌에 쏘이면 매우 아플 수 있다."
waterproof,방수의,"I need a waterproof jacket for my hiking trip.","하이킹 여행에 방수 재킷이 필요하다."
weep,울다,"She started to weep when she heard the sad news.","그녀는 그 슬픈 소식을 듣고 울기 시작했다."
whereabouts,소재; 행방,"The whereabouts of the missing hiker are still unknown.","실종된 등산객의 행방은 아직 알려지지 않았다."
whereby,~에 의해,"They have a system whereby employees can share their ideas.","그들은 직원들이 아이디어를 공유할 수 있는 시스템을 갖추고 있다."
widespread,널리 퍼진,"There is widespread concern about the effects of climate change.","기후 변화의 영향에 대한 우려가 널리 퍼져 있다."
wilderness,황야; 야생,"He enjoys hiking and camping in the wilderness.","그는 황야에서 하이킹과 캠핑을 즐긴다."
wildly,거칠게; 매우,"The crowd cheered wildly for their team.","군중들은 자신들의 팀을 향해 열광적으로 환호했다."
willpower,의지력,"It takes a lot of willpower to quit a bad habit.","나쁜 습관을 끊는 데는 많은 의지력이 필요하다."
winding,구불구불한,"The winding road led us through the mountains.","그 구불구불한 길은 우리를 산속으로 이끌었다."
wink,윙크하다,"He gave her a friendly wink.","그는 그녀에게 친근하게 윙크를 했다."
wisdom,지혜,"She is known for her great wisdom and kindness.","그녀는 뛰어난 지혜와 친절함으로 알려져 있다."
witty,재치 있는,"He is a witty speaker who always makes the audience laugh.","그는 항상 청중을 웃게 만드는 재치 있는 연설가이다."
worm,"벌레; 지렁이","The early bird gets the worm.","일찍 일어나는 새가 벌레를 잡는다."
worthless,가치 없는,"The old coins turned out to be worthless.","그 낡은 동전들은 가치가 없는 것으로 드러났다."
worthy,"가치 있는; 존경할 만한","His brave actions are worthy of praise.","그의 용감한 행동은 칭찬받을 가치가 있다."
wretched,비참한; 형편없는,"She felt wretched after failing the exam.","그녀는 시험에 떨어지고 나서 비참한 기분이 들었다."
wrinkle,주름,"He has a few wrinkles around his eyes when he smiles.","그는 웃을 때 눈가에 주름이 몇 개 생긴다."
wrinkled,주름진,"He wore a clean but wrinkled shirt.","그는 깨끗하지만 주름진 셔츠를 입고 있었다."
wrinkly,주름이 많은,"The old dog had a cute, wrinkly face.","그 늙은 개는 귀엽고 주름이 많은 얼굴을 하고 있었다."
wrist,손목,"She sprained her wrist while playing tennis.","그녀는 테니스를 치다가 손목을 삐었다."
yarn,"실; 이야기","My grandmother taught me how to knit with yarn.;He told us a long yarn about his adventures.","할머니는 나에게 실로 뜨개질하는 법을 가르쳐 주셨다.;그는 우리에게 자신의 모험에 대한 긴 이야기를 들려주었다."
yield,"생산하다; 굴복하다","The farm yields a good harvest every year.;She refused to yield to his demands.","그 농장은 매년 좋은 수확을 낸다.;그녀는 그의 요구에 굴복하기를 거부했다."
yoga,요가,"Practicing yoga can help reduce stress.","요가를 수련하는 것은 스트레스를 줄이는 데 도움이 될 수 있다."
